scene,V_IoU,Chamfer_cm,P2S_cm,Normal_Consistency
hi4d_pair15_fight,0.5906,4.5609,2.8568,0.7489
hi4d_pair16_jump,0.5766,4.4372,2.6329,0.7515
hi4d_pair17_dance,0.5856,4.1913,2.3013,0.7586
hi4d_pair19_piggyback,0.4864,5.3400,3.6383,0.6724
avg,0.5598,4.6324,2.8573,0.7329
