scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9169,18.6216,0.0876
hi4d_pair16_jump,0.9163,18.8965,0.0891
hi4d_pair17_dance,0.9351,21.9241,0.0771
hi4d_pair19_piggyback,0.9317,20.5869,0.0734
avg,0.925,20.0,0.0818
