scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9183,18.8639,0.0948
hi4d_pair16_jump,0.9189,19.3011,0.0949
hi4d_pair17_dance,0.9360,22.1360,0.0834
hi4d_pair19_piggyback,0.9346,20.8298,0.0772
avg,0.927,20.3,0.0876
