scene,MPJPE_mm,MVE_mm,PCDR
hi4d_pair15_fight,57.7375,49.1502,0.6467
hi4d_pair16_jump,51.8277,43.1624,0.3291
hi4d_pair17_dance,90.8522,66.8624,0.5600
hi4d_pair19_piggyback,110.3624,94.7514,0.9133
avg,77.6949,63.4816,0.6123
