scene,MPJPE_mm,MVE_mm,PCDR
hi4d_pair15_fight,57.7189,49.1494,0.6467
hi4d_pair16_jump,51.7694,43.1182,0.3291
hi4d_pair17_dance,90.8612,66.8601,0.5600
hi4d_pair19_piggyback,110.2162,94.6542,0.9133
avg,77.6414,63.4455,0.6123
