scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9173,18.6676,0.0868
hi4d_pair16_jump,0.9172,18.9739,0.0875
hi4d_pair17_dance,0.9353,21.9494,0.0771
hi4d_pair19_piggyback,0.9327,20.6704,0.0721
avg,0.926,20.1,0.0809
