scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9170,18.6386,0.0871
hi4d_pair16_jump,0.9175,19.0131,0.0874
hi4d_pair17_dance,0.9354,21.9608,0.0773
hi4d_pair19_piggyback,0.9327,20.6688,0.0721
avg,0.926,20.1,0.0810
