scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9175,18.7007,0.0932
hi4d_pair16_jump,0.9160,18.9320,0.0930
hi4d_pair17_dance,0.9356,21.9934,0.0801
hi4d_pair19_piggyback,0.9322,20.6684,0.0773
avg,0.925,20.1,0.0859
