scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9170,18.6349,0.0871
hi4d_pair16_jump,0.9174,18.9913,0.0876
hi4d_pair17_dance,0.9354,21.9500,0.0772
hi4d_pair19_piggyback,0.9326,20.6481,0.0723
avg,0.926,20.1,0.0811
