scene,MPJPE_mm,MVE_mm,PCDR
hi4d_pair15_fight,57.7436,49.1736,0.6467
hi4d_pair16_jump,51.7787,43.1240,0.3291
hi4d_pair17_dance,90.9308,66.9314,0.5600
hi4d_pair19_piggyback,110.2873,94.7164,0.9133
avg,77.6851,63.4863,0.6123
