scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9179,18.7189,0.0915
hi4d_pair16_jump,0.9169,18.9876,0.0913
hi4d_pair17_dance,0.9359,22.0040,0.0788
hi4d_pair19_piggyback,0.9324,20.6708,0.0759
avg,0.926,20.1,0.0844
