scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9172,18.6702,0.0905
hi4d_pair16_jump,0.9175,19.0669,0.0907
hi4d_pair17_dance,0.9351,21.9725,0.0799
hi4d_pair19_piggyback,0.9340,20.7612,0.0743
avg,0.926,20.1,0.0839
