scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9349,20.6309,0.0841
hi4d_pair16_jump,0.9367,21.2581,0.0799
hi4d_pair17_dance,0.9493,23.6189,0.0703
hi4d_pair19_piggyback,0.9503,22.4173,0.0632
avg,0.943,22.0,0.0744
