scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9172,18.6939,0.0936
hi4d_pair16_jump,0.9169,19.0425,0.0923
hi4d_pair17_dance,0.9357,22.0353,0.0802
hi4d_pair19_piggyback,0.9323,20.6866,0.0771
avg,0.926,20.1,0.0858
