scene,V_IoU,Chamfer_cm,P2S_cm,Normal_Consistency
mmm_dance,0.3211,7.3332,4.3656,0.6161
mmm_lift,0.3218,6.9781,4.5773,0.5868
mmm_walkdance,0.4717,5.4789,3.3242,0.6499
avg,0.3715,6.5967,4.0890,0.6176
