scene,MPJPE_mm,MVE_mm,PCDR
hi4d_pair15_fight,57.7380,49.1498,0.6467
hi4d_pair16_jump,51.8291,43.1683,0.3291
hi4d_pair17_dance,90.8700,66.8792,0.5600
hi4d_pair19_piggyback,110.3575,94.7492,0.9133
avg,77.6987,63.4866,0.6123
