scene,MPJPE_mm,MVE_mm,PCDR
hi4d_pair15_fight,59.4743,51.2904,0.6267
hi4d_pair16_jump,54.0491,45.5763,0.3291
hi4d_pair17_dance,91.7846,68.5511,0.5840
hi4d_pair19_piggyback,106.4447,91.5104,0.9133
avg,77.9382,64.2321,0.6133
