scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9174,18.6908,0.0929
hi4d_pair16_jump,0.9165,19.0293,0.0928
hi4d_pair17_dance,0.9355,21.9962,0.0802
hi4d_pair19_piggyback,0.9325,20.6087,0.0775
avg,0.925,20.1,0.0858
