scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9338,20.5537,0.0832
hi4d_pair16_jump,0.9356,21.1711,0.0795
hi4d_pair17_dance,0.9462,23.3459,0.0715
hi4d_pair19_piggyback,0.9483,22.1637,0.0636
avg,0.941,21.8,0.0745
