scene,V_IoU,Chamfer_cm,P2S_cm,Normal_Consistency
mmm_dance,0.3208,6.9758,4.0525,0.6356
mmm_lift,0.3431,6.7683,4.4579,0.6101
mmm_walkdance,0.4700,5.2676,3.0587,0.6761
avg,0.3780,6.3372,3.8564,0.6406
