scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9182,18.8273,0.0940
hi4d_pair16_jump,0.9191,19.3554,0.0941
hi4d_pair17_dance,0.9356,22.0698,0.0823
hi4d_pair19_piggyback,0.9348,20.8764,0.0763
avg,0.927,20.3,0.0867
