scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9330,20.4901,0.0828
hi4d_pair16_jump,0.9345,21.0735,0.0790
hi4d_pair17_dance,0.9438,23.2004,0.0720
hi4d_pair19_piggyback,0.9466,22.0671,0.0639
avg,0.939,21.7,0.0744
