scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9068,16.6133,0.1266
hi4d_pair16_jump,0.8937,16.6613,0.1248
hi4d_pair17_dance,0.8929,17.5884,0.1238
hi4d_pair19_piggyback,0.9076,16.9804,0.1071
avg,0.900,17.0,0.1206
