scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9180,18.7644,0.0931
hi4d_pair16_jump,0.9186,19.2461,0.0934
hi4d_pair17_dance,0.9358,22.0739,0.0816
hi4d_pair19_piggyback,0.9344,20.7977,0.0765
avg,0.927,20.2,0.0862
