scene,MPJPE_mm,MVE_mm,PCDR
hi4d_pair15_fight,57.2215,48.6373,0.6467
hi4d_pair16_jump,52.0235,43.3995,0.3291
hi4d_pair17_dance,90.8737,66.8241,0.5440
hi4d_pair19_piggyback,110.6331,94.9191,0.9133
avg,77.6880,63.4450,0.6083
