scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9184,18.8195,0.0924
hi4d_pair16_jump,0.9172,19.1169,0.0925
hi4d_pair17_dance,0.9358,22.0302,0.0801
hi4d_pair19_piggyback,0.9327,20.7052,0.0769
avg,0.926,20.2,0.0855
