scene,MPJPE_mm,MVE_mm,PCDR
hi4d_pair15_fight,58.9777,50.8310,0.6267
hi4d_pair16_jump,53.6029,45.0829,0.3291
hi4d_pair17_dance,91.2843,68.0863,0.5920
hi4d_pair19_piggyback,105.9078,91.1561,0.9133
avg,77.4432,63.7891,0.6153
