scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9170,18.6169,0.0871
hi4d_pair16_jump,0.9175,19.0015,0.0875
hi4d_pair17_dance,0.9356,21.9634,0.0769
hi4d_pair19_piggyback,0.9327,20.6630,0.0723
avg,0.926,20.1,0.0809
