scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9174,18.7005,0.0929
hi4d_pair16_jump,0.9183,19.2133,0.0930
hi4d_pair17_dance,0.9358,22.0599,0.0813
hi4d_pair19_piggyback,0.9341,20.7777,0.0763
avg,0.926,20.2,0.0859
