scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9174,18.9931,0.0973
hi4d_pair16_jump,0.9183,19.3551,0.0945
hi4d_pair17_dance,0.9355,22.0842,0.0839
hi4d_pair19_piggyback,0.9329,20.8221,0.0784
avg,0.926,20.3,0.0885
