scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9181,18.7874,0.0931
hi4d_pair16_jump,0.9186,19.2640,0.0934
hi4d_pair17_dance,0.9357,22.0774,0.0817
hi4d_pair19_piggyback,0.9347,20.8287,0.0764
avg,0.927,20.2,0.0862
