scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9176,18.7432,0.0935
hi4d_pair16_jump,0.9184,19.2229,0.0936
hi4d_pair17_dance,0.9358,22.0894,0.0815
hi4d_pair19_piggyback,0.9346,20.8185,0.0764
avg,0.927,20.2,0.0862
