scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9173,18.3227,0.1001
hi4d_pair16_jump,0.9213,19.6090,0.0928
hi4d_pair17_dance,0.9336,21.6543,0.0840
hi4d_pair19_piggyback,0.9274,19.1707,0.0851
avg,0.925,19.7,0.0905
