scene,MPJPE_mm,MVE_mm,CD_mm,PCDR
hi4d_pair15_fight,72.3318,56.1035,235.5121,0.6000
hi4d_pair16_jump,71.7222,58.5086,142.2888,0.4051
hi4d_pair17_dance,108.2972,87.3830,234.9131,0.6560
hi4d_pair19_piggyback,118.2288,101.8384,153.5713,0.9000
avg,92.6450,75.9584,191.5713,0.6403
