scene,MPJPE_mm,MVE_mm,PCDR
hi4d_pair15_fight,59.8197,51.8747,0.6267
hi4d_pair16_jump,54.5567,46.2389,0.3291
hi4d_pair17_dance,90.4464,67.8600,0.6000
hi4d_pair19_piggyback,104.6990,90.5189,0.9133
avg,77.3804,64.1231,0.6173
