scene,MPJPE_mm,MVE_mm,PCDR
hi4d_pair15_fight,58.1953,49.3296,0.6600
hi4d_pair16_jump,51.8687,43.1381,0.3291
hi4d_pair17_dance,90.9042,66.6391,0.5600
hi4d_pair19_piggyback,113.1765,97.1876,0.9200
avg,78.5362,64.0736,0.6173
