scene,MPJPE_mm,MVE_mm,PCDR
hi4d_pair15_fight,57.7639,49.1592,0.6467
hi4d_pair16_jump,51.9354,43.2448,0.3291
hi4d_pair17_dance,91.2179,67.1961,0.5520
hi4d_pair19_piggyback,109.9974,94.4519,0.9133
avg,77.7286,63.5130,0.6103
