scene,V_IoU,Chamfer_cm,P2S_cm,Normal_Consistency
mmm_dance,0.3248,7.3753,4.3394,0.6395
mmm_lift,0.2925,7.0793,4.3366,0.5961
mmm_walkdance,0.4554,5.5023,3.2373,0.6687
avg,0.3576,6.6523,3.9711,0.6348
