scene,MPJPE_mm,MVE_mm,PCDR
hi4d_pair15_fight,57.6923,49.1609,0.6467
hi4d_pair16_jump,51.7546,43.1288,0.3291
hi4d_pair17_dance,90.8408,66.9077,0.5600
hi4d_pair19_piggyback,110.2655,94.7234,0.9133
avg,77.6383,63.4802,0.6123
