scene,MPJPE_mm,MVE_mm,PCDR
hi4d_pair15_fight,59.1045,50.9467,0.6200
hi4d_pair16_jump,53.7144,45.1922,0.3291
hi4d_pair17_dance,91.3417,68.1918,0.5760
hi4d_pair19_piggyback,105.8399,91.0841,0.9133
avg,77.5001,63.8537,0.6096
