scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9182,18.7546,0.0926
hi4d_pair16_jump,0.9172,19.0591,0.0930
hi4d_pair17_dance,0.9360,22.0480,0.0802
hi4d_pair19_piggyback,0.9327,20.6962,0.0773
avg,0.926,20.1,0.0858
