scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9363,20.9551,0.0813
hi4d_pair16_jump,0.9386,21.5577,0.0788
hi4d_pair17_dance,0.9507,24.0491,0.0700
hi4d_pair19_piggyback,0.9511,22.6640,0.0634
avg,0.944,22.3,0.0734
