scene,MPJPE_mm,MVE_mm,PCDR
hi4d_pair15_fight,58.4055,49.7208,0.6533
hi4d_pair16_jump,51.9548,43.1903,0.3291
hi4d_pair17_dance,90.4239,66.4172,0.5440
hi4d_pair19_piggyback,111.1932,95.4380,0.9133
avg,77.9943,63.6916,0.6099
