scene,MPJPE_mm,MVE_mm,PCDR
hi4d_pair15_fight,60.0877,50.8872,0.6667
hi4d_pair16_jump,53.1952,44.2058,0.3291
hi4d_pair17_dance,92.1077,67.5434,0.5520
hi4d_pair19_piggyback,116.3733,100.0207,0.9200
avg,80.4410,65.6643,0.6169
