scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9180,18.7604,0.0930
hi4d_pair16_jump,0.9175,19.1250,0.0936
hi4d_pair17_dance,0.9360,22.0565,0.0806
hi4d_pair19_piggyback,0.9328,20.7329,0.0776
avg,0.926,20.2,0.0862
