scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9170,18.6273,0.0871
hi4d_pair16_jump,0.9177,19.0461,0.0873
hi4d_pair17_dance,0.9354,21.9648,0.0772
hi4d_pair19_piggyback,0.9327,20.6678,0.0722
avg,0.926,20.1,0.0809
