scene,MPJPE_mm,MVE_mm,PCDR
hi4d_pair15_fight,57.7574,49.1734,0.6467
hi4d_pair16_jump,51.8427,43.1719,0.3291
hi4d_pair17_dance,90.8928,66.9075,0.5600
hi4d_pair19_piggyback,110.3822,94.7738,0.9133
avg,77.7188,63.5067,0.6123
