scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9138,18.8022,0.0985
hi4d_pair16_jump,0.9135,19.2754,0.0982
hi4d_pair17_dance,0.9322,22.1299,0.0845
hi4d_pair19_piggyback,0.9280,20.7294,0.0807
avg,0.922,20.2,0.0905
