scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9172,18.6675,0.0934
hi4d_pair16_jump,0.9167,18.9961,0.0925
hi4d_pair17_dance,0.9355,22.0048,0.0800
hi4d_pair19_piggyback,0.9322,20.6727,0.0771
avg,0.925,20.1,0.0858
