scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9146,18.5083,0.0920
hi4d_pair16_jump,0.9143,18.8191,0.0904
hi4d_pair17_dance,0.9333,21.8100,0.0788
hi4d_pair19_piggyback,0.9302,20.5357,0.0753
avg,0.923,19.9,0.0841
