scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9185,17.6602,0.0869
hi4d_pair16_jump,0.9244,19.4030,0.0843
hi4d_pair17_dance,0.9387,21.7454,0.0745
hi4d_pair19_piggyback,0.9361,20.4650,0.0672
avg,0.929,19.8,0.0782
