scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9179,18.7846,0.0935
hi4d_pair16_jump,0.9177,19.1620,0.0931
hi4d_pair17_dance,0.9356,22.0447,0.0812
hi4d_pair19_piggyback,0.9328,20.7498,0.0774
avg,0.926,20.2,0.0863
