scene,SSIM,PSNR,LPIPS
hi4d_pair15_fight,0.9170,18.6327,0.0872
hi4d_pair16_jump,0.9174,18.9909,0.0876
hi4d_pair17_dance,0.9354,21.9561,0.0774
hi4d_pair19_piggyback,0.9335,20.7199,0.0710
avg,0.926,20.1,0.0808
