scene,V_IoU,Chamfer_cm,P2S_cm,Normal_Consistency
hi4d_pair15_fight,0.5841,4.4502,2.5896,0.7189
hi4d_pair16_jump,0.5652,4.3071,2.3919,0.7249
hi4d_pair17_dance,0.5083,4.1644,2.2217,0.7175
hi4d_pair19_piggyback,0.4629,5.3423,3.4641,0.6487
avg,0.5301,4.5660,2.6668,0.7025
