scene,V_IoU,Chamfer_cm,P2S_cm,Normal_Consistency
mmm_dance,0.2938,6.9809,3.9316,0.6155
mmm_lift,0.3015,6.8060,4.3166,0.5939
mmm_walkdance,0.4297,5.2530,2.9173,0.6581
avg,0.3417,6.3466,3.7218,0.6225
